7,Big Data Application Structure,`Slides <https://iu.box.com/s/7bg3kbyei2awr09c7xlqdvzhe431ykqj>`_,
7.A,NIST Big Data Sub Groups,`Slides <https://mix.office.com/watch/dwap7g95jn9b>`_,0:23:25
7.B,Big Data Patterns - Sources of Parallelism,`Slides <https://mix.office.com/watch/fkebewczmq6q>`_,0:23:51
7.C,First and Second Set of Features,`Slides <https://mix.office.com/watch/jmpr3f4mnvqy>`_,0:18:26
7.D,Machine Learning Aspect of Second Feature Set and the Third Set,`Slides <https://iu.box.com/s/rin0vyk82899bnixbgj4b6eooh4e01ym>`_,0:18:38
8,Aspects of Big Data Applications,`Slides <https://iu.box.com/s/62k5jgp5kk3trai06s3elhhns34zvnpk>`_,
8.A,Other sources of use cases and Classical Databases/SQL Solutions,`Video <https://www.youtube.com/watch?v=fLK3Ib-4mP0>`_,0:16:50
8.B,SQL Solutions -  Machine Learning Example -  and MapReduce,`Video <https://www.youtube.com/watch?v=wVv-5ijGpb4>`_,0:18:49
8.C,Clouds vs HPC -  Data Intensive vs. Simulation Problems,`Video <https://www.youtube.com/watch?v=gkmQXJEscvk>`_,0:20:26
11,Big Data Applications and Generalizing their Structure,`Slides <https://iu.box.com/s/5c9j10jf6winwp7gkg0q8qfr7wn37tvd>`_,
11.A,NIST UseCases and Image Based Applications Examples I,`Video <https://www.youtube.com/watch?v=tRoAx444A6U>`_,0:25:20
11.B,Image Based Applications II,`Video <https://www.youtube.com/watch?v=FDtnWGwotjA>`_,0:15:23
11.C,Internet of Things Based Applications,`Video <https://www.youtube.com/watch?v=cOuCSveoVYY>`_,0:25:25
11.D,Big Data Patterns - the Ogres and their Facets I,`Video <https://www.youtube.com/watch?v=CvCfRP7J6dU>`_,0:22:44
11.E,Facets of the Big Data Ogres II,`Video <https://www.youtube.com/watch?v=fGyUPApnwHw>`_,0:15:09
12,More on Software Stack,`Slides <https://iu.box.com/s/vl0vo3oqkoo8jq7ccwew59lslcmbb9ot>`_,
11.A,More of Software Stack,`Video <https://mix.office.com/watch/hupb6i6669bh>`_,0:24:00
